Revised Product Name,Product category,Sub category,MRP,VAT,Maalgaadi Cost price,Maalgaadi Price,Customer Discount,Customer Discount %,Description
CADBURY DAIRYMILK SHOT 19.8G PACK OF 12,Confectionery,Chocolate,120,12.5,109.09,117,3,3%,"Buy CADBURY DAIRYMILK SHOT 19.8G PACK OF 12, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY DAIRYMILK SHOTS 246.4 G,Confectionery,Chocolate,112,12.5,101.82,109,3,3%,"Buy CADBURY DAIRYMILK SHOTS 246.4 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY ECLAIRS 3.205.4 G,Confectionery,Chocolate,750,12.5,687.72,741,9,1%,"Buy CADBURY ECLAIRS 3.205.4 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY ECLAIRS RICH BROWNIE,Confectionery,Chocolate,50,12.5,43.48,48,2,4%,"Buy CADBURY ECLAIRS RICH BROWNIE, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY FRUIT & NUT 42G FP,Confectionery,Chocolate,35,12.5,30.7,34,1,3%,"Buy CADBURY FRUIT & NUT 42G FP, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY FRUIT N NUT 80G,Confectionery,Chocolate,65,12.5,57.02,63,2,3%,"Buy CADBURY FRUIT N NUT 80G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY GEMS 11.4G PACK OF 72,Confectionery,Chocolate,360,12.5,327.27,351,9,3%,"Buy CADBURY GEMS 11.4G PACK OF 72, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY GEMS 23.06G CARTON,Confectionery,Chocolate,15,12.5,13.64,15,0,0%,"Buy CADBURY GEMS 23.06G CARTON, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY GEMS JAR 258.1G(4.45X56),Confectionery,Chocolate,112,12.5,100,109,3,3%,"Buy CADBURY GEMS JAR 258.1G(4.45X56), Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY GEMS JR 698.1G(4.45X140U),Confectionery,Chocolate,280,12.5,250,274,6,2%,"Buy CADBURY GEMS JR 698.1G(4.45X140U), Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY GEMS SURPRISE 23G,Confectionery,Chocolate,30,12.5,26.31,29.5,0.5,2%,"Buy CADBURY GEMS SURPRISE 23G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY PERK BAG 5.5GX55U+2U FR,Confectionery,Chocolate,110,12.5,100,107,3,3%,"Buy CADBURY PERK BAG 5.5GX55U+2U FR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY PERK HOME PACK,Confectionery,Chocolate,50,12.5,44.64,49,1,2%,"Buy CADBURY PERK HOME PACK, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CADBURY ROAST ALMOND 42 G,Confectionery,Chocolate,35,12.5,30.7,34,1,3%,"Buy CADBURY ROAST ALMOND 42 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
FERRERO ROCHER T 16,Confectionery,Chocolate,295,12.5,280.96,292,3,1%,"Buy FERRERO ROCHER T 16, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
FERRERO ROCHER T5 62.5G,Confectionery,Chocolate,95,12.5,82.61,92,3,3%,"Buy FERRERO ROCHER T5 62.5G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GALAXY CRISPY 36G,Confectionery,Chocolate,25,12.5,21.93,24.5,0.5,2%,"Buy GALAXY CRISPY 36G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GALAXY FRUIT & NUT 43G,Confectionery,Chocolate,30,12.5,26.31,29.5,0.5,2%,"Buy GALAXY FRUIT & NUT 43G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GALAXY MILK 43G,Confectionery,Chocolate,25,12.5,21.93,24.5,0.5,2%,"Buy GALAXY MILK 43G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MARS CHOCOLATE 51 G,Confectionery,Chocolate,30,12.5,26.31,29.5,0.5,2%,"Buy MARS CHOCOLATE 51 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MARS MINIATURES 150G,Confectionery,Chocolate,140,12.5,133.34,138,2,1%,"Buy MARS MINIATURES 150G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MILKYBAR CHOO CHOCO 14 G PACK OF 24,Confectionery,Chocolate,120,12.5,107.63,117,3,3%,"Buy MILKYBAR CHOO CHOCO 14 G PACK OF 24, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MILKYBAR CHOO STRAW 14G PACK OF 24,Confectionery,Chocolate,120,12.5,107.72,117,3,3%,"Buy MILKYBAR CHOO STRAW 14G PACK OF 24, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MILKYBAR MOULD 9G PACK OF 30,Confectionery,Chocolate,150,12.5,134.53,147,3,2%,"Buy MILKYBAR MOULD 9G PACK OF 30, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE BAR ONE Pouch (10U) 140G SVP,Confectionery,Chocolate,50,12.5,44.06,49,1,2%,"Buy NESTLE BAR ONE Pouch (10U) 140G SVP, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE DARK CHOCOLATE DRY FRUITS 23G,Confectionery,Chocolate,25,12.5,22.73,24.5,0.5,2%,"Buy NESTLE DARK CHOCOLATE DRY FRUITS 23G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE ECLAIRS POLYBAG 360G,Confectionery,Chocolate,60,12.5,51.73,58,2,3%,"Buy NESTLE ECLAIRS POLYBAG 360G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE FOXES FRUITS 90G,Confectionery,Chocolate,40,12.5,38.09,39.5,0.5,1%,"Buy NESTLE FOXES FRUITS 90G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE FOXES MINT 90G,Confectionery,Chocolate,50,12.5,47.62,49.5,0.5,1%,"Buy NESTLE FOXES MINT 90G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
NESTLE KITKAT 2F 18G PACK OF 40,Confectionery,Chocolate,400,12.5,363.63,391,9,2%,"Buy NESTLE KITKAT 2F 18G PACK OF 40, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
